,SwisNo,UnitNo,SiteName,CountyID,County,Operator,Location,PlaceName,Zip,EnforAgent,Owner,Category,Activity,RegStatus,OpStatus,Latitude,Longitude,SiteID,UnitID
33,25-AA-0015,1,Adin Transfer Station,25,Modoc,County Of Modoc Public Works Dept,Lassen County Rd #88; 1 Mi Se Of Adin,Adin                                    ,96006,County of Modoc,US Dept Of Int Bur Of Land Mgmt-Alturas,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,41.18306,-120.92806000000002,2428,2460
35,36-AA-0337,4,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Composting,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active,34.445170000000005,-117.29007,3416,10926
36,36-AA-0337,1,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.445170000000005,-117.29007,3416,3457
37,36-AA-0337,6,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Permitted                          ,Active,34.445170000000005,-117.29007,3416,11072
38,36-AA-0337,7,Advance Disposal Center for the Environm,36,San Bernardino,Advance Disposal Company,17105 Mesa Street,Hesperia                                ,92345,County of San Bernardino                ,Advance Disposal Company,Waste Tire Site,Waste Tire Location                ,Permitted                          ,Active,34.445170000000005,-117.29007,3416,11748
41,23-AA-0023,1,Ag Soil Amendment Program - H Bar H,23,Mendocino,H Bar H Ranch                           ,3 1/2 Mi S Point Arena,Point Arena                             ,95468,County of Mendocino                     ,H Bar H Ranch                           ,Disposal,Treatment Unit (in situ)           ,Exempt                             ,Active,38.87964,-123.66246000000001,2282,2313
44,33-AA-0360,1,Agriscape Inc. C&D Wood Chip & Grind,33,Riverside,"Agriscape, Inc.",37760 Borel Rd.,Murrieta                                ,95563,County of Riverside,"Borel, Alexander A.                     ",Transfer/Processing,Small Vol CD Wood Debris ChipGrind Op,Notification                       ,Active,33.56343,-117.13378,11374,11979
45,33-AA-0320,1,"Agriscape, Inc.",33,Riverside,"Agriscape, Inc.",37760 Borel Rd.,Murrieta                                ,92563,County of Riverside,Alex A. Borel,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,33.56343,-117.13378,11033,11542
46,33-AA-0307,1,"Agriscape, Incorporated",33,Riverside,"Agriscape, Inc.",18712 Bridge Street,Lakeview                                ,92582,County of Riverside,"Almejo, Richardo",Composting,Composting Operation (Green Waste) ,Notification                       ,Active,33.858579999999996,-117.0598,10702,11080
47,36-AA-0476,1,Agromin Chino Green Mat. Composting Op.,36,San Bernardino,"Agromin, Inc.",8100 Chino-Corona Rd.,Chino                                   ,91708,County of San Bernardino                ,"Chino Holding, LLC",Composting,Composting Operation (Green Waste) ,Notification                       ,Active,33.94723,-117.63134,11318,11910
49,56-AA-0165,1,Agromin Organics Recy. Composting Fac.,56,Ventura,"Agromin Orange, LLC",6859 Arnold Rd.,Oxnard                                  ,93033,County of Ventura,"Shoreline Arnold Rd., LLC",Composting,Composting Operation (Research)    ,Notification                       ,Active,34.12627,-119.15553,11096,11623
50,56-AA-0138,1,Agromin Organics Recycling,56,Ventura,"California Wood Recycling, Inc.",6859 Arnold Road,Port Hueneme                            ,93041,County of Ventura,USA Petroleum,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,34.126020000000004,-119.1565,5141,5228
52,56-AA-0169,1,Agromin Organics Recycling (SmartFerm),56,Ventura,Agromin Organics Recycling,6859 Arnold Rd.,Oxnard                                  ,93033,County of Ventura,"Shoreline Arnold Rd., LLC",Composting,Composting Operation (Research)    ,Notification                       ,Active,34.12527,-119.1553,11207,11758
53,27-AA-0119,1,"AgroThrive, Inc.",27,Monterey,Agrothrive Inc.,26775 Old Stage Rd.,Gonzales                                ,93926,County of Monterey                      ,M&M Dairy,Composting,Composting Facility (Other),Permitted                          ,Active,36.53543,-121.4628,10994,11499
54,36-AA-0019,1,Agua Mansa Landfill,36,San Bernardino,"Yeager, E L Construction Co",588 East Agua Mansa Road,Rialto                                  ,92376,County of San Bernardino                ,Agua Mansa Properties,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,34.05178,-117.35956000000002,3331,3372
58,07-AA-0054,1,Airport Ranch Sludge Spreading,7,Contra Costa,County Of Contra Costa Public Works Dep,Holey Road,Byron                                   ,94514,County of Contra Costa,County Of Contra Costa Public Works Dep,Disposal,Land Application                   ,Exempt                             ,Active,37.831590000000006,-121.61861999999999,291,295
59,19-AA-0804,1,Alabama Street MDY  (Tree Yard),19,Los Angeles,City of Los Angeles Bureau of St Maint.,7725 Alabama Avenue,Canoga Park (In Los Angeles)            ,91304,City of Los Angeles,City of Los Angeles Bureau of St. Maint.,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.21051,-118.59938999999999,1458,1486
60,01-AA-0290,1,Alameda Co Industries Direct Trans. Fac.,1,Alameda,Alameda County Industries,610 Aladdin Avenue,San Leandro                             ,94577,County of Alameda,Alameda County Industries,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,37.7097,-122.15127,10057,10071
61,01-AA-0291,1,Alameda County Industries (SCTO),1,Alameda,Alameda County Industries,610 Aladdin Avenue,San Leandro                             ,94577,County of Alameda,County of Alameda,Transfer/Processing,Sealed Container Transfer Operation,Notification                       ,Active,37.70986,-122.15128,10256,10422
68,23-AA-0002,1,Albion Container Site,23,Mendocino,County Of Mendocino Solid Waste Division,Road 402c; 3 Mi S Of Albion,Albion                                  ,95410,County of Mendocino                     ,County Of Mendocino Solid Waste Division,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.21645,-123.71467,2263,2295
74,12-AA-0001,1,Alderpoint Container Site,12,Humboldt,Eel River Disposal Inc.,801 Steelhead Road (West Side),Alderpoint                              ,95511,County of Humboldt,County Of Humboldt Dept Of Public Works,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,40.17556,-123.61333,678,687
76,19-AA-0839,1,Alhambra Roll-Off Bin Transfer Station,19,Los Angeles,City Of Alhambra                        ,900 South New Avenue,Alhambra                                ,91801,County of Los Angeles,City Of Alhambra                        ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.084340000000005,-118.10891000000001,1487,1515
77,33-AA-0251,1,All American Asphalt Inert Fill Operatio,33,Riverside,All American Asphalt,1776 All American Way,Corona                                  ,92881,County of Riverside,"Sisemore, Daniel D.",Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,33.86548,-117.52776999999999,2992,3025
78,01-AA-0304,1,All Cities Landfill/ KOFY Radio Site,1,Alameda,"Landfill Management, Inc.",4001 West Winton Ave.,Hayward                                 ,94545,County of Alameda,"HBF Enterprises, Inc.",Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,37.64761,-122.1451,11063,11698
82,19-AA-1110,1,Allan Company Material Recovery Facility,19,Los Angeles,Cedarwood-Young DBA Alan Company,14604-14618 Arrow Highway,Baldwin Park                            ,91706,County of Los Angeles,Cedarwood-Young DBA Alan Company,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.10648,-117.9567,10863,11316
83,37-AB-0016,1,Allan Company MRF & T/S,37,San Diego,"Cedarwood-Young Company, dba Allan Co.",6733 Consolidated Way,San Diego                               ,92121,City of San Diego                       ,"Young Properties SD, LLC",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,32.87634,-117.1701,10865,11318
89,46-AA-0002,1,Alleghany Transfer Station,46,Sierra,County Of Sierra,NW of Ridge Road and Mountain House Road,Alleghany                               ,95910,County of Sierra,US Forest Svc-Camptonville,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.47237,-120.8761,4482,4549
90,13-AA-0101,1,Allied Imperial CDI Facility,13,Imperial,"Imperial Landfill, Inc.",104 East Robinson Road,Imperial                                ,92251,County of Imperial,"Imperial Landfill, Inc.",Transfer/Processing,Medium Vol CDI Debris Proc. Fac.,Permitted                          ,Active,32.85883,-115.5212,10733,11128
97,19-AA-0298,1,Altadena Shop,19,Los Angeles,Los Angeles Co Public Works Road M. Div,252 W Mountain View St,Altadena                                ,91001,County of Los Angeles,Los Angeles Co Public Works Road M. Div,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.18857,-118.15551,1401,1429
98,01-AA-0009,2,Altamont Landfill & Resource Recv`ry,1,Alameda,Waste Management Of Alameda County,10840 Altamont Pass Road,Livermore                               ,94550,County of Alameda,Waste Management Of Alameda County,Disposal,ACW Disposal Site,Permitted                          ,Active,37.753890000000006,-121.65165,7,8
99,01-AA-0009,1,Altamont Landfill & Resource Recv`ry,1,Alameda,Waste Management Of Alameda County,10840 Altamont Pass Road,Livermore                               ,94550,County of Alameda,Waste Management Of Alameda County,Disposal,Solid Waste Landfill,Permitted                          ,Active,37.753890000000006,-121.65165,7,7
102,25-AA-0001,1,Alturas Sanitary Landfill,25,Modoc,County Of Modoc Public Works Dept,"Landfiill Rd, S. Centerville / Westside",Alturas                                 ,96101,County of Modoc,County Of Modoc Public Works Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,41.45861,-120.56556,2417,2449
103,25-AA-0027,2,Alturas Transfer Station,25,Modoc,County Of Modoc Public Works Dept,1 Mile Off Cty. Rd. 54 On Cty. Rd. 60,Alturas                                 ,96101,County of Modoc,County Of Modoc Public Works Dept,Transfer/Processing,Small Volume Transfer Station      ,Permitted                          ,Active,41.46128,-120.55901999999999,2437,2469
104,12-AA-0124,1,Alves Inc.,12,Humboldt,Alves Inc.,4200 West End Rd.,Arcata                                  ,95521,County of Humboldt,Michael and Veralei Alves,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,40.89455,-124.07563,11020,11526
107,10-AA-0009,1,American Avenue Disposal Site,10,Fresno,County of Fresno Planning & Res. Mgmt.,18950 W American Av 4 Mi W/O Madera Av,Tranquillity                            ,93668,County of Fresno                        ,County of Fresno Planning & Res. Mgmt.,Disposal,Solid Waste Landfill,Permitted                          ,Active,36.66794,-120.13231999999999,427,435
109,19-AA-1125,1,"American Industrial Services, Inc.",19,Los Angeles,American Industrial Inc.,5626 Cherry Ave.,Long Beach                              ,90805,County of Los Angeles,"South Street Properties, LLC",Transfer/Processing,Medium Vol CDI Debris Proc. Fac.,Permitted                          ,Active,33.858509999999995,-118.16691999999999,11168,11708
110,19-AR-1241,1,American Reclamation CDI Processing Fac.,19,Los Angeles,"American Reclamation, Inc.",4560 Doran Street,Los Angeles (City)                      ,90039,City of Los Angeles,"Glendale Metals and Recycling, Inc.",Transfer/Processing,Medium Vol CDI Debris Proc. Fac.,Permitted                          ,Active,34.15242,-118.2772,10984,11487
111,19-AR-1242,1,American Reclamation Chipping and Grndng,19,Los Angeles,"American Reclamation, Inc.",4560 Doran Street,Los Angeles (City)                      ,90039,City of Los Angeles,"Glendale Metals and Recycling, Inc.",Transfer/Processing,Medium Vol CD Wood Debris ChipGrind Fac.,Permitted                          ,Active,34.15291,-118.2766,10985,11489
112,56-AA-0171,1,American Soil Amendment Products,56,Ventura,American Soil Amendment Products,4730 Tapo Canyon Rd.,Simi Valley                             ,93063,County of Ventura,Kurt Mikell,Composting,Composting Operation (Ag),Notification                       ,Active,34.32005,-118.71037,11334,11929
113,15-AA-0346,1,American Tire Tech,15,Kern,American Tire Tech                      ,SW corner of Nill Ave and Highway 99,McFarland                               ,93250,County of Kern,American Tire Tech                      ,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,35.6515,-119.221,1010,1024
114,19-AA-0001,1,American Waste Transfer Station,19,Los Angeles,"Republic Services Of California Ii, LLC",1449 W. Rosecrans Ave.,Gardena                                 ,90249,County of Los Angeles,"Republic Services Of California Ii, LLC",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,33.90237,-118.30203,1335,1354
116,37-AA-0952,1,Amswede Recycling,37,San Diego,"Amswede, Inc.",149 Reed Court,Chula Vista                             ,91911,County of San Diego                     ,"Stenvall, Tomy",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,32.59302,-117.05503,10404,10631
120,45-AA-0020,1,"Anderson Landfill, Inc.",45,Shasta,"Anderson Landfill, Inc.",18703 Cambridge Road,Anderson                                ,96007,County of Shasta                        ,Waste Management Of California Inc,Disposal,Solid Waste Landfill,Permitted                          ,Active,40.41639,-122.36,4430,4493
121,36-AA-0482,1,Andre Landscape Services Inc.,36,San Bernardino,Jeremy Andre,14005 Rancho Court,Fontana                                 ,92337,County of San Bernardino                ,Jeremy D. Andre and Michelle M. Andre,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,34.05085,-117.49948,11352,11952
124,19-AR-1185,1,"Angelus Western Paper Fibers, Inc.",19,Los Angeles,"Angelus Western Paper Fibers, Inc.      ",2474 Porter Street,Los Angeles (City)                      ,90021,City of Los Angeles,Bloom Investment                        ,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.02662,-118.22783999999999,1869,1900
127,49-AA-0364,1,Annapolis Transfer Station,49,Sonoma,"Republic Services of Sonoma County, Inc.",33551 Annapolis Road,Annapolis                               ,95412,County of Sonoma,County Of Sonoma Public Works Dept,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,38.705870000000004,-123.33863999999998,4681,4756
130,19-AA-5624,1,Antelope Valley Public Landfill,19,Los Angeles,Antelope Valley Recycling and Disposal,1200 W. City Ranch Road,Palmdale                                ,93551,County of Los Angeles,Antelope Valley Recycling and Disposal,Disposal,Solid Waste Landfill,Permitted                          ,Active,34.56975,-118.15208,1708,1738
133,33-AA-0287,1,Anza Collection Station,33,Riverside,Waste Mngmnt. Collections and Recycling,40329 Terwilliger Road,Anza                                    ,92306,County of Riverside,County Of Riverside Waste Mgmt Dept,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,33.53691,-116.62676,3019,3052
134,33-AA-0340,1,Anza Maintenance Yard,33,Riverside,Riverside County Transportation Dep.,57-210 State Highway 371,Anza                                    ,92539,County of Riverside,Riverside County Transportation Dept.,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.555170000000004,-116.68826000000001,11179,11719
137,33-AA-0361,1,"Arborquest Tree Service, Inc.",33,Riverside,"Arborquest Tree Service, Inc.",35053 Rancho California,Temecula                                ,92592,County of Riverside,Ponte Winery,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,33.53482,-117.03987,11376,11981
140,12-AA-0125,1,Arcata Forest Products,12,Humboldt,Figas Construction,105 Aldergrove Rd.,Arcata                                  ,95521,County of Humboldt,Martin Estate Properties,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,40.90106,-124.07106999999999,11268,11837
152,36-AA-0426,3,Artesia Sawdust Products,36,San Bernardino,Artesia Sawdust Products,13434 South Ontario Avenue,Ontario                                 ,971761,County of San Bernardino                ,Artesia Sawdust Products,Composting,Composting Facility (Green Waste)  ,Notification                       ,Active,34.0111,-117.601,10552,11812
159,01-AA-0305,1,"Asphalt Shingle Recyclers, LLC",1,Alameda,"Asphalt Shingle Recyclers, LLC",5900 Coliseum Way,Oakland                                 ,94621,County of Alameda,McCosker Equipment,Transfer/Processing,Inert Debris Type A Proc. Operation,Notification                       ,Active,37.76055,-122.20891999999999,11218,11770
162,19-AA-0863,1,Athens Services,19,Los Angeles,Athens Services,14048 E. Valley Blvd.,Industry                                ,91746,County of Los Angeles,"Arakelian Enterprises, Inc.",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.041290000000004,-117.98489,1510,1539
163,19-AR-5581,4,Athens Sun Valley Mat. Rec. & TS,19,Los Angeles,"Arakelian Enterprises, Inc.",11121 Pendleton Street,Sun Valley (In Los Angeles)             ,91353,City of Los Angeles,"Arakelian Enterprises, Inc.",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.239259999999994,-118.3741,1997,11069
164,07-AA-0070,1,"Atlas Tree Service, Inc.",7,Contra Costa,"Atlas Tree Services, Inc.",150 Medburn St.,Concord                                 ,94520,County of Contra Costa,"Atlas Tree Service, Inc.",Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,38.021,-122.02568000000001,11319,11911
165,49-AA-0393,1,Atlas Tree Waste Recycling,49,Sonoma,Atlas Tree Surgery,6303 Sebastopol Road (Hwy 12),Sebastopol                              ,95472,County of Sonoma,"Lane, Glen",Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,38.40493,-122.81263999999999,10539,10803
167,31-AA-0601,1,Auburn Placer Disposal Transfer Station,31,Placer,Auburn Placer Disposal Service Inc      ,12305 Shale Ridge Rd; Parcel #52-010-22,Auburn                                  ,95602,County of Placer,Auburn Placer Disposal Service Inc      ,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,38.95537,-121.09324,2835,2868
169,16-AA-0004,1,Avenal Regional Landfill,16,Kings,"Madera Disposal Systems, Inc.",1200 Skyline Blvd,Avenal                                  ,93204,County of Kings                         ,City Of Avenal,Disposal,Solid Waste Landfill,Permitted                          ,Active,36.01195,-120.11535,1217,1231
170,05-AA-0009,1,Avery Transfer Station,5,Calaveras,County Of Calaveras,"4541 Seagale Road, Avery, CA",Avery                                   ,95224,County of Calaveras,County Of Calaveras,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,38.206109999999995,-120.36528,186,189
172,19-AR-1260,1,Azteca Roll Off,19,Los Angeles,Azteca Roll Off,1768 E. 43rd St.,Los Angeles (City)                      ,90058,City of Los Angeles,Sheila J. Greenway,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,34.0046,-118.2411,11341,11937
173,19-AA-0013,2,Azusa Land Reclamation Co. Landfill,19,Los Angeles,Azusa Land Reclamation Co. Inc.,1211 West Gladstone Street,Azusa                                   ,91702,County of Los Angeles,Azusa Land Reclamation Co. Inc.,Disposal,ACW Disposal Site,Permitted                          ,Active,34.117,-117.925,1345,1367
174,19-AA-0013,1,Azusa Land Reclamation Co. Landfill,19,Los Angeles,Azusa Land Reclamation Co. Inc.,1211 West Gladstone Street,Azusa                                   ,91702,County of Los Angeles,Azusa Land Reclamation Co. Inc.,Disposal,Inert Waste Disposal Site,Permitted                          ,Active,34.117,-117.925,1345,1366
176,19-AA-0013,5,Azusa Land Reclamation Co. Landfill,19,Los Angeles,Azusa Land Reclamation Co. Inc.,1211 West Gladstone Street,Azusa                                   ,91702,County of Los Angeles,Azusa Land Reclamation Co. Inc.,Transfer/Processing,"Contaminated Soil Operation, Xfer  ",Permitted                          ,Active,34.117,-117.925,1345,1370
177,19-AA-0013,3,Azusa Land Reclamation Co. Landfill,19,Los Angeles,Azusa Land Reclamation Co. Inc.,1211 West Gladstone Street,Azusa                                   ,91702,County of Los Angeles,Azusa Land Reclamation Co. Inc.,Waste Tire Site,Major Waste Tire Facility          ,Permitted                          ,Active,34.117,-117.925,1345,1368
178,19-AA-1127,1,Azusa Transfer and MRF,19,Los Angeles,Azusa Land Reclamation,1501 W. Gladstone,Azusa                                   ,91701,County of Los Angeles,Azusa Land Reclamation,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.1149,-117.93253,11213,11764
179,43-AA-0027,1,"B and D Mushrooms, Inc.",43,Santa Clara,"B and D Mushrooms, Inc.",14255 Sycamore Avenue,San Martin                              ,94046,County of Santa Clara                   ,"B and D Mushrooms, Inc.",Composting,Composting Operation (Ag),Notification                       ,Active,37.10161,-121.60468999999999,10533,10796
180,40-AA-0037,1,"B. Goodrow, Inc. Composting",40,San Luis Obispo,"Goodrow, Inc. Composting",3730 Calf Canyon Hwy /Hwy 58,Creston                                 ,93432,CalRecycle Enforcement Agency,"Goodrow, B.,  Inc.",Composting,Composting Facility (Mixed)        ,Permitted                          ,Active,35.45382,-120.47833999999999,10425,10651
181,33-AA-0301,1,B.P. John Recycling Inc.,33,Riverside,"B.P. John Recycling, Inc.",28700 Mathews Road,Romoland                                ,92585,County of Riverside,"Metzler Investements,  Calif. Lmt. Part.",Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,33.7385,-117.16126000000001,10483,10737
182,54-AA-0014,1,Badger Transfer Station,54,Tulare,Tulare County,Road 260 At Avenue 468,Badger                                  ,93286,County of Tulare                        ,Tulare County,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,36.63323,-118.99713,4946,5029
183,33-AA-0006,1,Badlands Sanitary Landfill,33,Riverside,County Of Riverside Waste Mgmt Dept,31125 Ironwood Avenue,Moreno Valley                           ,92555,County of Riverside,County Of Riverside Waste Mgmt Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,33.95349,-117.11758,2931,2963
185,30-AB-0390,1,Baker Canyon Green Recycling,30,Orange,Baker Canyon Green Recycling,26986 Baker Canyon Road,Silverado                               ,92676,County of Orange                        ,Baker Canyon Green Recycling,Composting,Composting Operation (Green Waste) ,Notification                       ,Active,33.76525,-117.65966999999999,10375,10582
186,36-AA-0373,1,Baker Medium Volume Transfer Processing,36,San Bernardino,County of San Bernardino S.W. Mgt Div,Kelbaker Road (South Of I-15),Baker                                   ,92309,County of San Bernardino                ,"County of San Bernardino, Com. Serv.Dist",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,35.2577,-116.05681000000001,3432,3474
189,15-AA-0273,1,Bakersfield Metropolitan (Bena) SLF,15,Kern,County of Kern Waste Management Dept.,2951 Neumarkel Road,Caliente                                ,93220,County of Kern,County of Kern Waste Management Dept.,Disposal,Solid Waste Landfill,Permitted                          ,Active,35.34467,-118.7595,971,983
192,54-AA-0032,1,Balance Rock Transfer Station,54,Tulare,Tulare County,44311 Sugarloaf Dr. / Balance Rock LF,California Hot Springs                  ,93207,County of Tulare                        ,Tulare County,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,35.810970000000005,-118.65695,4961,5044
202,36-AA-0046,2,Barstow Sanitary Landfill,36,San Bernardino,County of San Bernardino S.W. Mgt Div,32553 Barstow Rd. ( 3 Mi of  Barstow ),Barstow                                 ,92311,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Composting,Chipping and Grinding Activity Fac./ Op.,Permitted                          ,Active,34.83617,-117.01773,3345,12012
203,36-AA-0046,1,Barstow Sanitary Landfill,36,San Bernardino,County of San Bernardino S.W. Mgt Div,32553 Barstow Rd. ( 3 Mi of  Barstow ),Barstow                                 ,92311,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Disposal,Solid Waste Landfill,Permitted                          ,Active,34.83617,-117.01773,3345,3386
207,18-AA-0009,1,Bass Hill Landfill,18,Lassen,Lassen Regional Solid Waste Mgmt. Author,469-700 Johnstonville Dump Rdoff Hwy 395,Johnstonville                           ,96130,County of Lassen,Bureau of Land Management,Disposal,Solid Waste Landfill,Permitted                          ,Active,40.35281,-120.55508,1304,1322
208,18-AA-0009,1,Bass Hill Landfill,18,Lassen,Lassen Regional Solid Waste Mgmt. Author,469-700 Johnstonville Dump Rdoff Hwy 395,Johnstonville                           ,96130,County of Lassen,County Of Lassen Public Works Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,40.35281,-120.55508,1304,1322
211,41-AA-0197,1,Bay Area Organic Green Waste T/S,41,San Mateo,Elmer Cano,766 Warrington Ave.,Redwood City                            ,94063,County of San Mateo                     ,Darin Muneno,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,37.48122,-122.20591,11340,11936
213,38-AA-0015,1,Bay View Green Waste Mgt. Company,38,San Francisco,"Bhas, Sanjay",1300 Carrol Way,San Francisco                           ,94124,County of San Francisco                 ,"D'Arcy, Mike",Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,37.72255,-122.38806000000001,10634,10970
220,15-AA-0250,1,Bear Valley CSD Transfer Station,15,Kern,Bear Valley Community Services District ,28999 Lower Valley Road,Tehachapi                               ,93561,County of Kern,Bear Valley Community Services District ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,35.15834,-118.64731,959,971
222,02-AA-0003,1,Bear Valley Transfer Station,2,Alpine,County Of Alpine Public Works Dept,"Creekside Rd., Common Area `e`",Bear Valley                             ,95223,County of Alpine,County Of Alpine Public Works Dept,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,38.46278,-120.04,87,89
